Circuits,Years_raced_on_circuit,No_of_years_raced_on_circuit,First_winner,Latest_winner,Fastest_lap_record_holder,Most_Wins,Grand_Prixs_Held,Longtitude,Latitude
Portimão_Circuit,2020-2021,2,Lewis_Hamilton-Mercedes-2020,Lewis_Hamilton-Mercedes-2021,Lewis_Hamilton-Mercedes-2020,Lewis_Hamilton,Portuguese_Grand_Prix,-8.632,37.232
Jeddah_Corniche_Circuit,2021,1,Lewis_Hamilton_Mercedes-2021,Lewis_Hamilton_Mercedes-2021,Lewis_Hamilton_Mercedes-2021,Lewis_Hamilton,Saudi_Arabian_Grand_Prix,39.108333,21.623611
Hungaroring,1986-2021,36,Nelson_Piquet-Williams-1986,Esteban_Ocon-Alpine-2021,Max_Verstappen-Red_Bull_Racing-2019,Lewis_Hamilton,Hungarian_Grand_Prix,19.251111,47.582222
Circuit_Paul_Ricard,1971_1973_1975-1976_1978_1980_1982-1983_1985-1990_2018-2019_2021,17,Jackie_Stewart-Tyrrell-1971,Max_Verstappen-Red_Bull_Racing-2021,Valtteri_Bottas-Mercedes-2018,Alain_Prost,French_Grand_Prix,5.791667,43.250556
Circuit_of_the_Americas,2012-2019_2021,9,Lewis_Hamilton-McLaren-2012,Max_Verstappen-Red_Bull_Racing-2021,Charles_Leclerc-Ferrari-2019,Lewis_Hamilton,US_Grand_Prix,-97.641111,30.132778
Catalunya_Circuit,1991-2021,31,Nigel_Mansell-Williams-1991,Lewis_Hamilton-Mercedes-2021,Valtteri_Bottas-Mercedes-2020,Lewis_Hamilton_&_Michael_Schumacher,Spanish_Grand_Prix,2.261111,41.57
Baku_Street_Circuit,2016-2019_2021,5,Nico_Rosberg-Mercedes-2016,Sergio_Pérez-Red_Bull_Racing-2021,Charles_Leclerc-Ferrari-2019,Nico_Rosberg_/_Daniel_Ricciardo_/_Lewis_Hamilton_/_Valtteri_Bottas_/_Sergio_Pérez,Azerbaijan_Grand_Prix_&_European_Grand_Prix,49.853333,40.3725
Bahrain_International_Circuit,2004-2021,18,Michael_Schumacher-Ferrari-2004,Lewis_Hamilton-Mercedes-2021,Pedro_de_la_Rosa-McLaren-2005,Lewis_Hamilton,Bahrain_Grand_Prix,50.510556,26.0325
Autodromo_Interlagos,1973-1977_1979-1980_1990-2019_2021,38,Emerson_Fittipaldi-Lotus-1973,Lewis_Hamilton-Mercedes-2021,Max_Verstappen-Red_Bull_Racing-2017,Michael_Schumacher,Brazilian_Grand_Prix,-46.697222,-23.701111
Autodromo_Imola,1980-2006_2020-2021,29,Nelson_Piquet-Brabham-1980,Max_Verstappen-Red_Bull_Racing-2021,Lewis_Hamilton-Mercedes-2020,Michael_Schumacher,Italian_Grand_Prix_/_San_Marino_Grand_Prix_/_Emilia_Romagna_Grand_Prix,11.713333,44.341111
Autodromo_Hermanos_Rodriguez,1963-1970_1986-1992_2015-2019_2021,21,Jim_Clark-Lotus-1963,Max_Verstappen-Red_Bull_Racing-2021,Valtteri_Bottas-Mercedes-2021,Max_Verstappen,Mexican_Grand_Prix,-99.0925,19.406111
Circuit_Gilles_Villeneuve,1978-1986_1988-2008_2010-2019,40,Gilles_Villeneuve-Ferrari-1978,Lewis_Hamilton-Mercedes-2019,Valtteri_Bottas-Mercedes-2019,Lewis_Hamilton_&_Michael_Schumacher,Canadian_Grand_Prix,-73.522461,45.500578
Suzuka_Circuit,1987-2006_2009-2019,31,Gerhard_Berger-Ferrari-1987,Valtteri_Bottas-Mercedes-2019,Kimi_Räikkönen-McLaren-2005,Michael_Schumacher,Japanese_Grand_Prix,136.540556,34.843056
Marina_Bay_Street_Circuit,2008-2019,12,Fernando_Alonso-Renault-2008,Sebastian_Vettel-Ferrari-2019,Kevin_Magnussen-Haas-2018,Sebastian_Vettel,Singapore_Grand_Prix,103.86385,1.291531
Shanghai_International_Circuit,2004-2019,16,Rubens_Barrichello-Ferrari-2004,Lewis_Hamilton-Mercedes-2019,Michael_Schumacher-Ferrari-2004,Lewis_Hamilton,Chinese_Grand_Prix,121.219722,31.338889
Sepang_International_Circuit,1999-2017,19,Eddie_Irvine-Ferrari-1999,Max_Verstappen-Red_Bull_Racing-2017,Sebastian_Vettel-Ferrari-2017,Sebastian_Vettel,Malaysian_Grand_Prix,101.7375,2.760556
